Borough,Neighbourhood,game,year,Ticket_sales,Net_sales,Income,SES,Education,MBSA,Population,jackpot_size
Central Toronto,Moore Park / Summerhill East,Lottario,2013,49.29041095890411,190.81095890410958,51827,5.034888514,14.17795753,0.83028720600000006,10094,486767.12328767125
Central Toronto,Moore Park / Summerhill East,Lottario,2014,39.47945205479452,146.45753424657534,51827,5.034888514,14.17795753,0.83028720600000006,10094,386084.9315068493
Central Toronto,Moore Park / Summerhill East,Lottario,2015,42.129120879120876,134.79945054945054,51827,5.034888514,14.17795753,0.83028720600000006,10094,494505.4945054945
Central Toronto,Moore Park / Summerhill East,Lotto 649,2012,405.92622950819674,1930.9726775956285,51827,5.034888514,14.17795753,0.83028720600000006,10094,10366120.218579235
Central Toronto,Moore Park / Summerhill East,Lotto 649,2013,391.8602739726027,2051.841095890411,51827,5.034888514,14.17795753,0.83028720600000006,10094,10890410.95890411
Central Toronto,Moore Park / Summerhill East,Lotto 649,2014,275.23835616438356,1698.5424657534247,51827,5.034888514,14.17795753,0.83028720600000006,10094,8641095.89041096
Central Toronto,Moore Park / Summerhill East,Lotto 649,2015,306.76164383561644,1885.717808219178,51827,5.034888514,14.17795753,0.83028720600000006,10094,14010958.90410959
Central Toronto,Moore Park / Summerhill East,Lotto Max,2012,351.90437158469945,3111.9398907103823,51827,5.034888514,14.17795753,0.83028720600000006,10094,35483606.55737705
Central Toronto,Moore Park / Summerhill East,Lotto Max,2013,257.49041095890414,2213.4520547945203,51827,5.034888514,14.17795753,0.83028720600000006,10094,27515068.493150685
Central Toronto,Moore Park / Summerhill East,Lotto Max,2014,240.95342465753424,2074.986301369863,51827,5.034888514,14.17795753,0.83028720600000006,10094,28005479.452054795
Central Toronto,Moore Park / Summerhill East,Lotto Max,2015,292.3342465753425,2562.821917808219,51827,5.034888514,14.17795753,0.83028720600000006,10094,40539726.02739726
Central Toronto,North Toronto West,Lottario,2012,2.595959595959596,7.8047138047138045,48842,4.468121137,13.48483477,0.823842065,11048,463569.0235690236
Central Toronto,North Toronto West,Lottario,2013,2.840255591054313,9.690095846645367,48842,4.468121137,13.48483477,0.823842065,11048,508722.0447284345
Central Toronto,North Toronto West,Lottario,2014,2.643835616438356,8.301369863013699,48842,4.468121137,13.48483477,0.823842065,11048,406441.7808219178
Central Toronto,North Toronto West,Lottario,2015,3.721875,12.6875,48842,4.468121137,13.48483477,0.823842065,11048,504625
Central Toronto,North Toronto West,Lotto 649,2012,18.67945205479452,115.34246575342466,48842,4.468121137,13.48483477,0.823842065,11048,10326027.397260275
Central Toronto,North Toronto West,Lotto 649,2013,16.933701657458563,96.83149171270718,48842,4.468121137,13.48483477,0.823842065,11048,10950276.243093923
Central Toronto,North Toronto West,Lotto 649,2014,13.091160220994475,81.9696132596685,48842,4.468121137,13.48483477,0.823842065,11048,8665745.85635359
Central Toronto,North Toronto West,Lotto 649,2015,17.535911602209946,117.00828729281768,48842,4.468121137,13.48483477,0.823842065,11048,14052486.187845305
Central Toronto,North Toronto West,Lotto Max,2012,13.252747252747254,151.33241758241758,48842,4.468121137,13.48483477,0.823842065,11048,35541208.79120879
Central Toronto,North Toronto West,Lotto Max,2013,8.838526912181303,72.59206798866856,48842,4.468121137,13.48483477,0.823842065,11048,27586402.26628895
Central Toronto,North Toronto West,Lotto Max,2014,9.713091922005571,84.59610027855153,48842,4.468121137,13.48483477,0.823842065,11048,27991643.454038996
Central Toronto,North Toronto West,Lotto Max,2015,15.445682451253482,134.27576601671308,48842,4.468121137,13.48483477,0.823842065,11048,40883008.35654596
Central Toronto,Roselawn,Lottario,2012,14.251366120218579,40.59016393442623,39461,2.599193831,12.03550658,0.758849558,16349,448142.07650273223
Central Toronto,Roselawn,Lottario,2013,15.80939226519337,43.947513812154696,39461,2.599193831,12.03550658,0.758849558,16349,488674.0331491713
Central Toronto,Roselawn,Lottario,2014,11.911845730027549,32.59779614325069,39461,2.599193831,12.03550658,0.758849558,16349,386834.71074380167
Central Toronto,Roselawn,Lottario,2015,10.008241758241759,29.01923076923077,39461,2.599193831,12.03550658,0.758849558,16349,494587.9120879121
Central Toronto,Roselawn,Lotto 649,2012,138.39617486338798,689.2459016393443,39461,2.599193831,12.03550658,0.758849558,16349,10366120.218579235
Central Toronto,Roselawn,Lotto 649,2013,137.4,738.0739726027397,39461,2.599193831,12.03550658,0.758849558,16349,10890410.95890411
Central Toronto,Roselawn,Lotto 649,2014,104.7972602739726,599.8438356164384,39461,2.599193831,12.03550658,0.758849558,16349,8641095.89041096
