game,year,day,total_jp_size,total_jp_sales
Lotto Max,2014,16,25833333.333333332,384.27962962962965
Lotto Max,2014,17,26226010.101010103,572.1468013468013
Lotto Max,2014,18,24166666.666666668,419.40092592592595
Lotto Max,2014,19,25333333.333333332,464.4990740740741
Lotto Max,2014,20,26500000,395.51203703703703
Lotto Max,2014,21,27000000,681.2037037037037
Lotto Max,2014,22,29083333.333333332,385.5907407407407
Lotto Max,2014,23,30730555.555555556,403.24638047138046
Lotto Max,2014,24,31166666.666666668,531.6240740740741
Lotto Max,2014,25,31593602.693602692,485.50454545454545
Lotto Max,2014,26,32272474.74747475,475.92239057239055
Lotto Max,2014,27,33666666.666666664,454.42962962962963
Lotto Max,2014,28,34416666.666666664,810.7074074074075
Lotto Max,2014,29,26000000,434.1878787878788
Lotto Max,2014,30,26000000,421.9525252525253
Lotto Max,2014,31,26000000,669.3285714285714
Lotto Max,2015,1,42085437.710437715,450.7898148148148
Lotto Max,2015,2,42083333.333333336,620.3629629629629
Lotto Max,2015,3,43750000,574.9675925925926
Lotto Max,2015,4,44166666.666666664,670.2018518518519
Lotto Max,2015,5,45773989.8989899,664.6977272727273
Lotto Max,2015,6,44750000,846.0722222222222
Lotto Max,2015,7,39333333.333333336,449.375
Lotto Max,2015,8,36166666.666666664,483.9
Lotto Max,2015,9,36166666.666666664,620.2824074074074
Lotto Max,2015,10,37083333.333333336,610.1055555555556
Lotto Max,2015,11,38166666.666666664,650.0444444444445
Lotto Max,2015,12,38995959.5959596,453.11026936026934
Lotto Max,2015,13,39416666.666666664,663.937962962963
Lotto Max,2015,14,41500000,462.68148148148146
Lotto Max,2015,15,41941835.01683501,558.8505892255893
Lotto Max,2015,16,41967003.36700337,726.1702861952862
Lotto Max,2015,17,40083333.333333336,755.287962962963
Lotto Max,2015,18,39656228.95622896,746.3255892255892
Lotto Max,2015,19,40083333.333333336,488.8814814814815
Lotto Max,2015,20,40666666.666666664,698.8925925925926
Lotto Max,2015,21,38750000,461.48425925925926
Lotto Max,2015,22,39527777.777777776,623.0979797979797
Lotto Max,2015,23,39500000,716.6787037037037
Lotto Max,2015,24,40695622.895622894,767.1563973063973
Lotto Max,2015,25,41481313.13131313,745.442760942761
Lotto Max,2015,26,38333333.333333336,474.5444444444444
Lotto Max,2015,27,38333333.333333336,632.6101851851852
Lotto Max,2015,28,40000000,460.587037037037
Lotto Max,2015,29,41818181.81818182,702.0323232323233
Lotto Max,2015,30,41818181.81818182,724.7919191919192
Lotto Max,2015,31,44714285.71428572,616.3365079365079
Lotto 649,2012,1,9750000,853.7648148148148
Lotto 649,2012,2,10791666.666666666,759.3833333333333
Lotto 649,2012,3,9291666.666666666,828.5296296296297
Lotto 649,2012,4,10166666.666666666,946.962037037037
Lotto 649,2012,5,11916666.666666666,839.8027777777778
Lotto 649,2012,6,13071296.296296297,762.254797979798
Lotto 649,2012,7,13458333.333333334,1125.0111111111112
Lotto 649,2012,8,13791666.666666666,923.6481481481482
Lotto 649,2012,9,12791666.666666666,788.4305555555555
Lotto 649,2012,10,13500000,965.3851851851852
Lotto 649,2012,11,13375000,991.9231481481481
Lotto 649,2012,12,10750000,797.5370370370371
Lotto 649,2012,13,9708333.333333334,786.2101851851852
Lotto 649,2012,14,10000000,1110.0842592592592
Lotto 649,2012,15,6750000,775.3268518518519
Lotto 649,2012,16,6375000,655.3148148148148
Lotto 649,2012,17,7125000,783.4037037037037
Lotto 649,2012,18,8166666.666666667,954.6148148148148
Lotto 649,2012,19,8875000,737.7787037037037
Lotto 649,2012,20,9583333.333333334,770.3231481481481
Lotto 649,2012,21,10250000,1007.687037037037
Lotto 649,2012,22,8416666.666666666,829.112037037037
Lotto 649,2012,23,8750000,721.9805555555555
