game,year,month_str,week,total_jp_size,total_jp_sales
Lotto Max,2014,October,Tuesday,16250000,218.4
Lotto Max,2014,October,Wednesday,17400000,309.08
Lotto Max,2014,October,Thursday,17400000,444.03777777777776
Lotto Max,2014,October,Friday,17400000,1500.0333333333333
Lotto Max,2014,October,Saturday,16250000,160.88888888888889
Lotto Max,2014,October,Sunday,16250000,113.125
Lotto Max,2014,November,Monday,28750000,229.3527777777778
Lotto Max,2014,November,Tuesday,28750000,256.90277777777777
Lotto Max,2014,November,Wednesday,28750000,353.8305555555556
Lotto Max,2014,November,Thursday,28750000,500.3
Lotto Max,2014,November,Friday,28750000,1723.4027777777778
Lotto Max,2014,November,Saturday,25200000,181.68666666666667
Lotto Max,2014,November,Sunday,25200000,131.7422222222222
Lotto Max,2014,December,Monday,23600000,268.4377777777778
Lotto Max,2014,December,Tuesday,23600000,322.93111111111114
Lotto Max,2014,December,Wednesday,23600000,434.49333333333334
Lotto Max,2014,December,Thursday,19461111.111111112,333.6925925925926
Lotto Max,2014,December,Friday,19500000,1360.2555555555555
Lotto Max,2014,December,Saturday,26750000,211.55555555555554
Lotto Max,2014,December,Sunday,26750000,152.23333333333332
Lotto Max,2015,January,Monday,37750000,273.0416666666667
Lotto Max,2015,January,Tuesday,37750000,303.93055555555554
Lotto Max,2015,January,Wednesday,37750000,409.73333333333335
Lotto Max,2015,January,Thursday,38195000,476.32388888888886
Lotto Max,2015,January,Friday,38200000,1920.3622222222223
Lotto Max,2015,January,Saturday,40200000,236.22666666666666
Lotto Max,2015,January,Sunday,37750000,170.26944444444445
Lotto Max,2015,February,Monday,25311111.111111112,168.8101851851852
Lotto Max,2015,February,Tuesday,25250000,288.18611111111113
Lotto Max,2015,February,Wednesday,25250000,368.8611111111111
Lotto Max,2015,February,Thursday,25250000,495.325
Lotto Max,2015,February,Friday,25250000,1695.0861111111112
Lotto Max,2015,February,Saturday,20250000,174.9
Lotto Max,2015,February,Sunday,25280555.555555556,127.82777777777778
Lotto Max,2015,March,Monday,29800000,239.12
Lotto Max,2015,March,Tuesday,29849444.444444444,260.5227777777778
Lotto Max,2015,March,Wednesday,33000000,363.1361111111111
Lotto Max,2015,March,Thursday,33000000,503.5861111111111
Lotto Max,2015,March,Friday,33000000,1731.8305555555555
Lotto Max,2015,March,Saturday,29750000,196.37777777777777
Lotto Max,2015,March,Sunday,29849444.444444444,139.63722222222222
Lotto Max,2015,April,Monday,38000000,264.02222222222224
Lotto Max,2015,April,Tuesday,38000000,314.8333333333333
Lotto Max,2015,April,Wednesday,33800000,383.48
Lotto Max,2015,April,Thursday,33800000,598.4533333333334
Lotto Max,2015,April,Friday,29750000,1487.4138888888888
Lotto Max,2015,April,Saturday,38000000,227.76111111111112
Lotto Max,2015,April,Sunday,38059259.25925926,151.6675925925926
Lotto Max,2015,May,Monday,50000000,329.1592592592593
Lotto Max,2015,May,Tuesday,50000000,443.11944444444447
Lotto Max,2015,May,Wednesday,50000000,592.6666666666666
Lotto Max,2015,May,Thursday,50000000,876.9861111111111
Lotto Max,2015,May,Friday,50000000,2917.92
Lotto Max,2015,May,Saturday,50000000,314.50888888888886
Lotto Max,2015,May,Sunday,50000000,228.67111111111112
Lotto Max,2015,June,Monday,46200000,349.8955555555556
Lotto Max,2015,June,Tuesday,46200000,410.5911111111111
Lotto Max,2015,June,Wednesday,45250000,511.96944444444443
Lotto Max,2015,June,Thursday,45250000,728.0583333333333
Lotto Max,2015,June,Friday,45250000,2441.4944444444445
Lotto Max,2015,June,Saturday,45250000,237.06944444444446
Lotto Max,2015,June,Sunday,45250000,177.8972222222222
Lotto Max,2015,July,Monday,43750000,311.63055555555553
Lotto Max,2015,July,Tuesday,43750000,344.8305555555556
Lotto Max,2015,July,Wednesday,45000000,445.2422222222222
Lotto Max,2015,July,Thursday,45000000,667.4022222222222
Lotto Max,2015,July,Friday,45000000,2350.628888888889
Lotto Max,2015,July,Saturday,43750000,237.9361111111111
Lotto Max,2015,July,Sunday,43750000,172.41944444444445
Lotto Max,2015,August,Monday,28200000,200.43555555555557
Lotto Max,2015,August,Tuesday,26250000,259.89166666666665
Lotto Max,2015,August,Wednesday,26250000,346.2055555555556
Lotto Max,2015,August,Thursday,26250000,482.4222222222222
Lotto Max,2015,August,Friday,26250000,1644.7166666666667
Lotto Max,2015,August,Saturday,28200000,182.82444444444445
Lotto Max,2015,August,Sunday,28200000,131.97555555555556
Lotto Max,2015,September,Monday,46750000,288.2972222222222
Lotto Max,2015,September,Tuesday,44600000,366.5111111111111
Lotto Max,2015,September,Wednesday,44600000,478.8355555555556
Lotto Max,2015,September,Thursday,50250000,743.0833333333334
Lotto Max,2015,September,Friday,50250000,2700.4944444444445
Lotto Max,2015,September,Saturday,46750000,255.41944444444445
Lotto Max,2015,September,Sunday,46750000,196.8527777777778
Lotto Max,2015,October,Monday,45007407.40740741,254.81944444444446
Lotto Max,2015,October,Tuesday,45000000,343.6611111111111
Lotto Max,2015,October,Wednesday,45000000,433.1666666666667
Lotto Max,2015,October,Thursday,40400000,574.0444444444445
Lotto Max,2015,October,Friday,40400000,2113.3
Lotto Max,2015,October,Saturday,48000000,283.79333333333335
Lotto Max,2015,October,Sunday,45000000,173.58333333333334
Lotto Max,2015,November,Monday,41800000,302.58666666666664
Lotto Max,2015,November,Tuesday,39750000,331.5111111111111
Lotto Max,2015,November,Wednesday,39750000,442.89166666666665
Lotto Max,2015,November,Thursday,39750000,602.3083333333333
Lotto Max,2015,November,Friday,39750000,2122.9
Lotto Max,2015,November,Saturday,37250000,221.24166666666667
Lotto Max,2015,November,Sunday,41800000,179.96
Lotto Max,2015,December,Monday,58750000,419.40277777777777
Lotto Max,2015,December,Tuesday,57000000,506.24444444444447
Lotto Max,2015,December,Wednesday,57000000,722.5666666666666
Lotto Max,2015,December,Thursday,57000000,1110.8644444444444
Lotto Max,2015,December,Friday,56236111.11111111,2434.392592592593
Lotto Max,2015,December,Saturday,58750000,304.22777777777776
Lotto Max,2015,December,Sunday,58750000,242.46666666666667
Lotto 649,2012,January,Monday,8000000,431.15555555555557
Lotto 649,2012,January,Tuesday,8000000,598.24
Lotto 649,2012,January,Wednesday,9250000,1705.8111111111111
Lotto 649,2012,January,Thursday,12625000,538.3611111111111
Lotto 649,2012,January,Friday,12625000,933.5305555555556
Lotto 649,2012,January,Saturday,12625000,1669.1416666666667
Lotto 649,2012,January,Sunday,8000000,235.01555555555555
Lotto 649,2012,February,Monday,6000000,379.02777777777777
Lotto 649,2012,February,Tuesday,6000000,599.0805555555555
Lotto 649,2012,February,Wednesday,5400000,1555.7422222222222
Lotto 649,2012,February,Thursday,9375000,566.7027777777778
Lotto 649,2012,February,Friday,9375000,885.5555555555555
Lotto 649,2012,February,Saturday,9375000,1545.6694444444445
Lotto 649,2012,February,Sunday,6000000,234.51666666666668
Lotto 649,2012,March,Monday,8000000,454.72777777777776
Lotto 649,2012,March,Tuesday,8000000,657.5194444444444
Lotto 649,2012,March,Wednesday,8000000,1730.1555555555556
Lotto 649,2012,March,Thursday,4700000,515.2622222222222
Lotto 649,2012,March,Friday,4700000,862.2244444444444
Lotto 649,2012,March,Saturday,4700000,1518.9666666666667
Lotto 649,2012,March,Sunday,8000000,269.575
Lotto 649,2012,April,Monday,8200000,425.00666666666666
Lotto 649,2012,April,Tuesday,8500000,636.3833333333333
Lotto 649,2012,April,Wednesday,8500000,1664.9388888888889
Lotto 649,2012,April,Thursday,7750000,590.6944444444445
Lotto 649,2012,April,Friday,7750000,719.2472222222223
Lotto 649,2012,April,Saturday,7750000,1528.0861111111112
Lotto 649,2012,April,Sunday,8200000,234.86
Lotto 649,2012,May,Monday,12750000,402.5472222222222
